iter	Passed	Remaining
412	2881	4096
413	2908	4117
414	2911	4103
415	2919	4098
416	2923	4087
417	2925	4072
418	2927	4059
419	2929	4045
420	2930	4030
421	2932	4015
422	2954	4029
423	2955	4015
424	2957	4001
425	2971	4004
426	2976	3993
427	2977	3979
428	2979	3965
429	2981	3952
430	2982	3938
431	2989	3930
432	2992	3918
433	2993	3904
434	3025	3929
435	3026	3915
436	3028	3901
437	3029	3887
438	3031	3873
439	3032	3859
440	3034	3845
441	3035	3832
442	3037	3818
443	3038	3805
444	3040	3791
445	3041	3777
446	3042	3764
447	3044	3751
448	3046	3738
449	3047	3724
450	3048	3711
451	3050	3698
452	3052	3685
453	3053	3672
454	3055	3659
455	3056	3646
456	3058	3633
457	3059	3620
458	3060	3607
459	3062	3595
460	3064	3582
461	3065	3569
462	3066	3556
463	3068	3544
464	3069	3531
465	3070	3518
466	3072	3506
467	3073	3493
468	3075	3481
469	3076	3469
470	3078	3457
471	3079	3444
472	3081	3433
473	3082	3421
474	3084	3409
475	3086	3397
476	3087	3385
477	3088	3372
478	3089	3360
479	3091	3348
480	3092	3337
481	3094	3325
482	3096	3314
483	3097	3302
484	3099	3291
485	3100	3279
486	3102	3268
487	3104	3257
488	3105	3245
489	3107	3234
490	3108	3222
491	3109	3211
492	3111	3199
493	3112	3188
494	3114	3177
495	3116	3166
496	3117	3155
497	3119	3144
498	3121	3134
499	3123	3123
500	3125	3112
501	3126	3101
502	3128	3091
503	3130	3080
504	3131	3069
505	3133	3059
506	3135	3048
507	3136	3037
508	3138	3027
509	3139	3016
510	3141	3005
511	3142	2995
512	3144	2985
513	3146	2974
514	3147	2964
515	3149	2954
516	3150	2943
517	3152	2933
518	3153	2922
519	3155	2912
520	3156	2902
521	3158	2892
522	3160	2882
523	3161	2872
524	3163	2862
525	3164	2851
526	3165	2841
527	3167	2831
528	3169	2821
529	3170	2811
530	3172	2801
531	3173	2791
532	3175	2782
533	3176	2771
534	3178	2762
535	3179	2752
536	3181	2742
537	3182	2732
538	3183	2722
539	3184	2712
540	3186	2703
541	3187	2693
542	3189	2684
543	3190	2674
544	3192	2665
545	3193	2655
546	3195	2646
547	3196	2636
548	3198	2627
549	3200	2618
550	3202	2609
551	3203	2600
552	3205	2590
553	3206	2581
554	3207	2572
555	3209	2563
556	3211	2553
557	3212	2544
